texto,opinion
@AmericanAir it's not a friend it's a legally required chaperone on a school trip.,0
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,1
"""Gained 30 pounds while on prednisone.  It was my 5th medicine to try. I was skeptical but it actually worked. Pristiq made me so sleepy and in a constant state of lala land. Gained 30 pounds while on prednisone and Started pristiq at the same time. I have gone a year and a half and still haven&#039;t lost the weight. It&#039;s different for everyone, and weight gain isn&#039;t normal, apparently. I tapered off the 100mg almost a month ago and now I have so much energy! On the meds I was still depressed but was ok with it. off the meds, I&#039;m attacking the issues head on and trying to make up for the last 1.5 year stupor. I&#039;d just had enough of missing out on life. Good meds if you want to sleep thru life and just not have to think about issues anymore.""",1
"""suffering from ME/CFS for over 25 yrs; morphine is ONLY med that decreased pain to tolerable level; take 75mg 3xday with 10mg statex(also morphine) for &quot;breakout&quot;pain; impossible to &quot;forget&quot; a dose; as the pain lets you know within an hour;1maj. side eff.constipation;controlled by250mg/magnesium 4xday""",1
"""High Points:-Easy to read screen-Touchscreen responsive-Love the physical page turning keys on either side (wish the NookColor had this feature)-Size (can hold it easily in one hand)-Lots of Free Classic Books and Classic Books available for 99 cents-Easily transfer books from your library from device to device (any Nook device or device with a Nook App)-Very organized library (and easy to pick up where you left off no matter how long the Nook has been turned off)-Beautiful design & feels very sturdy and well made-Great accessories-Battery Life (charge lasts about 10 days if you have it on with the internet off for a few hours everyday-MUCH better than the NookColor which gets about 3 days with comparable usage)-eLend compatible with your local library if they offer that feature (which is the only reason I chose this over the Kindle)-Free Updates (as the software improves",1
"""Day 1-Started with first dose after breakfast. Full meal  and 16 ounce glass of water to wash down medicine. Second dose taken six hours later with a full meal at lunch. Also drink 16 ounces of water with medicine. Around 2:30 in the afternoon started to develop a headache. I drink more water to see if that would help. Around 3:30 my headache was much worse and I started developing a stiff neck. Took my third dose at 6 PM  with a full meal and 16 ounces of water. 30 minutes later I got really nauseous and threw up four times. I have never thrown up this much in my life. I contacted the pharmacist and she told me to stop the medication immediately. I also contacted my doctor and she told me to stop, as well.""",0
"Apple's iPhone 6 Plus Amazingly Captures 41% of the Phablet Market Right out of the Gate $AAPL #aapl
http://t.co/hv7jiOO6S0",1
"""For about 6 years my physician prescribed Lipitor for high cholesterol. I couldn&#039;t take it due to muscle cramps. After that I was prescribed Zocor, Pravachol and finally the orange drink, Colestipol. Always had adverse side effects so I decided to stop trying. I lost 20 pounds but before the cholesterol dropped with any real significance, I regained the weight. The physician kept saying my cholesterol was dangerously high but I did not want the side effects. 

I had to change insurance companies which meant a new physician. This one said the same along w/a bit of a lecture. She prescribed Crestor, 5mg per day. After 3 months &amp; no side effects it went from 280 to 155. I couldn&#039;t believe it. I am 60 years old.""",1
my poor mom can't sleep cause she had a bat in the house last night.  she's home alone and terrified of them.    poor thing.,0
@LittleMissCindy I know it does!! But I really want Jolie to come. Otherwise it won't be as fun. ,0
